48,yobe,fika,gadaka/shembire,35,04,03,042,35/04/03/042,fire service,gadaka/shembire (ward: 03) - yobe
49,yobe,fika,gadaka/shembire,35,04,03,041,35/04/03/041,sayo pri. sch,gadaka/shembire (ward: 03) - yobe
50,yobe,fika,gadaka/shembire,35,04,03,040,35/04/03/040,high islam  pri. sch,gadaka/shembire (ward: 03) - yobe
51,yobe,fika,gadaka/shembire,35,04,03,039,35/04/03/039,gadaka vetinary,gadaka/shembire (ward: 03) - yobe
52,yobe,fika,gadaka/shembire,35,04,03,037,35/04/03/037,tsamiya open space,gadaka/shembire (ward: 03) - yobe
53,yobe,fika,gadaka/shembire,35,04,03,036,35/04/03/036,yaro guje borehole,gadaka/shembire (ward: 03) - yobe
54,yobe,fika,gadaka/shembire,35,04,03,034,35/04/03/034,madaki open space,gadaka/shembire (ward: 03) - yobe
55,yobe,fika,gadaka/shembire,35,04,03,032,35/04/03/032,kuku open space,gadaka/shembire (ward: 03) - yobe
56,yobe,fika,gadaka/shembire,35,04,03,031,35/04/03/031,haske open space,gadaka/shembire (ward: 03) - yobe
57,yobe,fika,gadaka/shembire,35,04,03,030,35/04/03/030,malum malum open space,gadaka/shembire (ward: 03) - yobe
58,yobe,fika,gadaka/shembire,35,04,03,029,35/04/03/029,galazi bakin rijiya,gadaka/shembire (ward: 03) - yobe
59,yobe,fika,gadaka/shembire,35,04,03,028,35/04/03/028,ganga pri. sch,gadaka/shembire (ward: 03) - yobe
60,yobe,fika,gadaka/shembire,35,04,03,027,35/04/03/027,lamba disa pri. sch,gadaka/shembire (ward: 03) - yobe
61,yobe,fika,gadaka/shembire,35,04,03,026,35/04/03/026,garin gamji dispensary,gadaka/shembire (ward: 03) - yobe
62,yobe,fika,gadaka/shembire,35,04,03,025,35/04/03/025,garin goge dispensary,gadaka/shembire (ward: 03) - yobe
63,yobe,fika,gadaka/shembire,35,04,03,024,35/04/03/024,garin goge borehole,gadaka/shembire (ward: 03) - yobe
64,yobe,fika,gadaka/shembire,35,04,03,022,35/04/03/022,"tinja bazam,  pri. sch.",gadaka/shembire (ward: 03) - yobe
65,yobe,fika,gadaka/shembire,35,04,03,023,35/04/03/023,maiduwa pri. sch ii,gadaka/shembire (ward: 03) - yobe
66,yobe,fika,gadaka/shembire,35,04,03,021,35/04/03/021,"zamba , pri. sch. ii",gadaka/shembire (ward: 03) - yobe
67,yobe,fika,gadaka/shembire,35,04,03,019,35/04/03/019,"unguwar yaro guze, k / mai ung. ii",gadaka/shembire (ward: 03) - yobe
68,yobe,fika,gadaka/shembire,35,04,03,018,35/04/03/018,"unguwar yaro guze,  k / mai ung. i",gadaka/shembire (ward: 03) - yobe
69,yobe,fika,gadaka/shembire,35,04,03,017,35/04/03/017,unguwar katala k/maiung.,gadaka/shembire (ward: 03) - yobe
70,yobe,fika,gadaka/shembire,35,04,03,011,35/04/03/011,"sabon layi, kofar maiungwa",gadaka/shembire (ward: 03) - yobe
71,yobe,fika,gadaka/shembire,35,04,03,010,35/04/03/010,"madaki, old bore hole",gadaka/shembire (ward: 03) - yobe
72,yobe,fika,gadaka/shembire,35,04,03,006,35/04/03/006,"garin goge, pri. sch. ii",gadaka/shembire (ward: 03) - yobe
73,yobe,fika,gadaka/shembire,35,04,03,005,35/04/03/005,"garin goge, pri. sch. i",gadaka/shembire (ward: 03) - yobe
74,yobe,fika,gadaka/shembire,35,04,03,004,35/04/03/004,"garin gamji, pri. sch.",gadaka/shembire (ward: 03) - yobe
75,yobe,fika,gadaka/shembire,35,04,03,002,35/04/03/002,"bulabulin , pri.sch.",gadaka/shembire (ward: 03) - yobe
76,yobe,fika,gadaka/shembire,35,04,03,016,35/04/03/016,"unguwar mamman disa, bore hole",gadaka/shembire (ward: 03) - yobe
77,yobe,fika,gadaka/shembire,35,04,03,015,35/04/03/015,"unguwar dala k, kofar maiunguwa",gadaka/shembire (ward: 03) - yobe
78,yobe,fika,gadaka/shembire,35,04,03,013,35/04/03/013,"unguwar  bulus, c.p sch. i",gadaka/shembire (ward: 03) - yobe
79,yobe,fika,gadaka/shembire,35,04,03,008,35/04/03/008,"hausari, kofar maiunguwa",gadaka/shembire (ward: 03) - yobe
80,yobe,fika,gadaka/shembire,35,04,03,003,35/04/03/003,"dala , kofar mai gari",gadaka/shembire (ward: 03) - yobe
81,yobe,fika,gadaka/shembire,35,04,03,007,35/04/03/007,"jangam, kofar maiunguwa",gadaka/shembire (ward: 03) - yobe
82,yobe,fika,gadaka/shembire,35,04,03,033,35/04/03/033,tsohon kasuwa open space,gadaka/shembire (ward: 03) - yobe
83,yobe,fika,gadaka/shembire,35,04,03,012,35/04/03/012,unguwar adamu d. open space,gadaka/shembire (ward: 03) - yobe
84,yobe,fika,gadaka/shembire,35,04,03,014,35/04/03/014,"unguwar bulus c, p sch. ii",gadaka/shembire (ward: 03) - yobe
85,yobe,fika,gadaka/shembire,35,04,03,020,35/04/03/020,"zamba,pri. sch. i",gadaka/shembire (ward: 03) - yobe
86,yobe,fika,gudi / dozi / godo woli,35,04,04,018,35/04/04/018,gudi dispensary,gudi / dozi / godo woli (ward: 04) - yobe
87,yobe,fika,gudi / dozi / godo woli,35,04,04,005,35/04/04/005,"garin alaramma, kofar maiunguwa",gudi / dozi / godo woli (ward: 04) - yobe
88,yobe,fika,gudi / dozi / godo woli,35,04,04,011,35/04/04/011,bajibir pri. school,gudi / dozi / godo woli (ward: 04) - yobe
89,yobe,fika,gudi / dozi / godo woli,35,04,04,012,35/04/04/012,fakali pri. sch.,gudi / dozi / godo woli (ward: 04) - yobe
90,yobe,fika,gudi / dozi / godo woli,35,04,04,006,35/04/04/006,"godowolli , pri. sch.",gudi / dozi / godo woli (ward: 04) - yobe
91,yobe,fika,gudi / dozi / godo woli,35,04,04,002,35/04/04/002,"doffo ofara , pri. sch.",gudi / dozi / godo woli (ward: 04) - yobe
92,yobe,fika,gudi / dozi / godo woli,35,04,04,016,35/04/04/016,jokire pri. school,gudi / dozi / godo woli (ward: 04) - yobe
93,yobe,fika,gudi / dozi / godo woli,35,04,04,008,35/04/04/008,"nahuta, pri. sch.",gudi / dozi / godo woli (ward: 04) - yobe
94,yobe,fika,gudi / dozi / godo woli,35,04,04,013,35/04/04/013,garin bura pri. school,gudi / dozi / godo woli (ward: 04) - yobe
95,yobe,fika,gudi / dozi / godo woli,35,04,04,019,35/04/04/019,dinkiri  pri. sch.,gudi / dozi / godo woli (ward: 04) - yobe
96,yobe,fika,gudi / dozi / godo woli,35,04,04,009,35/04/04/009,"lewe ,  pri. sch.",gudi / dozi / godo woli (ward: 04) - yobe
97,yobe,fika,gudi / dozi / godo woli,35,04,04,014,35/04/04/014,yelwa open space,gudi / dozi / godo woli (ward: 04) - yobe
98,yobe,fika,gudi / dozi / godo woli,35,04,04,010,35/04/04/010,"zadawa,  pri. sch.",gudi / dozi / godo woli (ward: 04) - yobe
99,yobe,fika,gudi / dozi / godo woli,35,04,04,001,35/04/04/001,"dade yasua, kofar maiunguwa",gudi / dozi / godo woli (ward: 04) - yobe
100,yobe,fika,gudi / dozi / godo woli,35,04,04,015,35/04/04/015,gana pri. sch.,gudi / dozi / godo woli (ward: 04) - yobe
101,yobe,fika,gudi / dozi / godo woli,35,04,04,017,35/04/04/017,ngamdu open space,gudi / dozi / godo woli (ward: 04) - yobe
102,yobe,fika,gudi / dozi / godo woli,35,04,04,004,35/04/04/004,"gamari , dispensary",gudi / dozi / godo woli (ward: 04) - yobe
103,yobe,fika,gudi / dozi / godo woli,35,04,04,007,35/04/04/007,"godowolli , pri. sch.",gudi / dozi / godo woli (ward: 04) - yobe
104,yobe,fika,gudi / dozi / godo woli,35,04,04,003,35/04/04/003,"gamari,  pri. sch.",gudi / dozi / godo woli (ward: 04) - yobe
105,yobe,fika,janga / boza / fa. sawa / t. nanai,35,04,05,014,35/04/05/014,dogo abare viewing centre,janga / boza / fa. sawa / t. nanai (ward: 05) - yobe
106,yobe,fika,janga / boza / fa. sawa / t. nanai,35,04,05,017,35/04/05/017,"sabon rijiya, pri. sch.",janga / boza / fa. sawa / t. nanai (ward: 05) - yobe
107,yobe,fika,janga / boza / fa. sawa / t. nanai,35,04,05,001,35/04/05/001,"burni , pri. sch.",janga / boza / fa. sawa / t. nanai (ward: 05) - yobe
108,yobe,fika,janga / boza / fa. sawa / t. nanai,35,04,05,004,35/04/05/004,"dogo abare, pri. sch.",janga / boza / fa. sawa / t. nanai (ward: 05) - yobe
109,yobe,fika,janga / boza / fa. sawa / t. nanai,35,04,05,003,35/04/05/003,"damazai, pri. sch. ii",janga / boza / fa. sawa / t. nanai (ward: 05) - yobe
110,yobe,fika,janga / boza / fa. sawa / t. nanai,35,04,05,009,35/04/05/009,"madodo madaki, kofar maiunguwa",janga / boza / fa. sawa / t. nanai (ward: 05) - yobe
111,yobe,fika,janga / boza / fa. sawa / t. nanai,35,04,05,008,35/04/05/008,"koromchi, pri. sch.",janga / boza / fa. sawa / t. nanai (ward: 05) - yobe
